url,Property ID,Locality name,Postal code,Subtype of property,Open Fire,Price,Construction year,Building condition,Outdoor parking spaces,Living area,Kitchen type,Bedrooms,Bathrooms,Terrace surface,Elevator,Energy class,Heating type,Double glazing,Flood zone type,Tenement building,Furnished,Surface of the plot,Garden surface,Number of frontages,Swimming pool,Accessible for disabled people,Covered parking spaces,Shower rooms
https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/11075725,11075725,antwerp,2000,apartment,0.0,"598,000",2017,Asnew,,116,Installed,2,1,15,Yes,A,Gas,Yes,Nonfloodzone,No,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/11038337,11038337,bruxelles,1000,apartment,0.0,"600,000",2001,Good,,145,Installed,3,2,,Yes,E,Gas,Yes,,No,No,,,2,No,No,1,
https://www.immoweb.be/en/classified/loft/for-sale/antwerpen-1/2018/11081677,11081677,antwerpen-1,2018,loft,0.0,"649,000",2022,Asnew,,146,Hyperequipped,2,1,35,Yes,A,Gas,Yes,,No,,,,2,,,1,1
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/11055377,11055377,uccle,1180,penthouse,0.0,"650,000",1995,Asnew,1,144,Hyperequipped,3,2,6,Yes,C,Gas,Yes,,No,No,,,3,No,Yes,1,1
https://www.immoweb.be/en/classified/apartment/for-sale/oostduinkerke/8670/10991595,10991595,oostduinkerke,8670,apartment,0.0,"660,000",2017,Asnew,,75,Installed,2,1,20,Yes,A,Gas,,Nonfloodzone,No,Yes,,,4,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11069447,11069447,knokke-heist,8300,apartment,0.0,"675,000",1988,Asnew,,85,USAhyperequipped,2,1,6,Yes,B,Gas,Yes,Nonfloodzone,No,No,,,2,No,Yes,,1
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10358585,10358585,bruxelles,1000,apartment,0.0,"685,000",2011,Good,,161,Hyperequipped,3,1,15,Yes,B,Gas,,Nonfloodzone,No,No,,,,No,Yes,,1
https://www.immoweb.be/en/classified/loft/for-sale/oudenaarde/9700/10877730,10877730,oudenaarde,9700,loft,0.0,"689,000",1930,Asnew,2,340,USAsemiequipped,3,2,,Yes,B,Gas,Yes,Nonfloodzone,No,No,,,,No,No,2,2
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11072668,11072668,ixelles,1050,apartment,0.0,"720,000",1938,Good,1,170,Hyperequipped,3,2,7,Yes,G,Gas,,,No,No,,,4,No,No,,
https://www.immoweb.be/en/classified/loft/for-sale/forest/1190/11052645,11052645,forest,1190,loft,1.0,"725,000",1947,Asnew,1,229,USAhyperequipped,3,2,60,No,C,Gas,Yes,,No,No,,,3,No,No,1,2
